#####,Type,Region I,Season,Region IV
100,,,,
00001,Air,Northern Forests,Fall,
00002,Air,Northern Forests,Fall,
00003,Water,Northern Forests,Fall,
00004,Water,Northern Forests,Fall,
00005,Water,Northern Forests,Fall,
00006,Air,Northern Forests,Fall,
00007,Air,Northern Forests,Fall,
00008,Air,Northern Forests,Fall,
00009,Air,Northern Forests,Fall,
00010,Air,Northern Forests,Fall,
00011,Air,Northern Forests,Fall,
00012,Hybrid,Northern Forests,Fall,
00013,Water,Northern Forests,Fall,
00014,Air,Northern Forests,Fall,
00015,Air,Northern Forests,Fall,
00016,Air,Northern Forests,Fall,
00017,Air,Northern Forests,Fall,
00018,Air,Northern Forests,Fall,
00019,Air,Northern Forests,Fall,
00020,Air,Northern Forests,Fall,
00021,Air,Northern Forests,Fall,
00022,Air,Eastern Temperate Forests,Fall,
00023,Air,Eastern Temperate Forests,Fall,
00024,Air,Eastern Temperate Forests,Fall,
00025,Air,Eastern Temperate Forests,Fall,
00026,Air,Northern Forests,Fall,
00027,Air,Northern Forests,Fall,
00028,Air,Northern Forests,Fall,
00029,Air,Northern Forests,Fall,
00030,Air,Northern Forests,Fall,
00031,Water,Northern Forests,Fall,
00032,Water,Northern Forests,Fall,
00033,Water,Northern Forests,Fall,
00034,Water,Northern Forests,Fall,
00035,Water,Northern Forests,Fall,
00036,Water,Northern Forests,Fall,
00037,Hybrid,Northern Forests,Fall,
00038,Hybrid,Northern Forests,Fall,
00039,Water,Northern Forests,Fall,
00040,Water,Northern Forests,Fall,
00041,Air,Northern Forests,Fall,
00042,Air,Northern Forests,Fall,
00043,Air,Northern Forests,Fall,
00044,Air,Northern Forests,Fall,
00045,Hybrid,Northern Forests,Fall,
00046,Water,Northern Forests,Fall,
00047,Hybrid,Northern Forests,Fall,
00048,Air,Northern Forests,Fall,
00049,Air,Northern Forests,Fall,
00050,Air,Northern Forests,Fall,
00051,Air,Northern Forests,Fall,
00052,Air,Northern Forests,Fall,
00053,Air,Northern Forests,Fall,
00054,Air,Northern Forests,Fall,
00055,Air,Northern Forests,Fall,
00056,Air,Eastern Temperate Forests,Fall,
00057,Air,Eastern Temperate Forests,Fall,
00058,Air,Eastern Temperate Forests,Fall,
00059,Air,Eastern Temperate Forests,Fall,
00060,Air,Eastern Temperate Forests,Fall,
00061,Air,Eastern Temperate Forests,Fall,
00062,Air,Eastern Temperate Forests,Fall,
00063,Air,Eastern Temperate Forests,Fall,
00064,Air,Eastern Temperate Forests,Fall,
00065,Water,Northern Forests,Fall,
00066,Air,Eastern Temperate Forests,Winter,
00067,Air,Eastern Temperate Forests,Winter,
00068,Air,Eastern Temperate Forests,Winter,
00069,Air,Eastern Temperate Forests,Winter,
00070,Air,Eastern Temperate Forests,Winter,
00071,Air,Eastern Temperate Forests,Winter,
00072,Air,Eastern Temperate Forests,Winter,
00073,Air,Eastern Temperate Forests,Winter,
00074,Air,Eastern Temperate Forests,Winter,
00075,Air,Eastern Temperate Forests,Winter,
00076,Air,Eastern Temperate Forests,Winter,
00077,Air,Eastern Temperate Forests,Winter,
00078,Air,Eastern Temperate Forests,Winter,
00079,Air,Eastern Temperate Forests,Winter,
00080,Air,Eastern Temperate Forests,Winter,
00081,Air,Eastern Temperate Forests,Winter,
00082,Air,Eastern Temperate Forests,Winter,
00083,Air,Eastern Temperate Forests,Winter,
00084,Air,Eastern Temperate Forests,Winter,
00085,Air,Eastern Temperate Forests,Winter,
00086,Air,Eastern Temperate Forests,Winter,
00087,Sequence,Eastern Temperate Forests,Winter,
00088,Sequence,Eastern Temperate Forests,Winter,
00089,Sequence,Eastern Temperate Forests,Winter,
00090,Sequence,Eastern Temperate Forests,Winter,
00091,Sequence,Eastern Temperate Forests,Winter,
00092,Sequence,Eastern Temperate Forests,Winter,
00093,Sequence,Eastern Temperate Forests,Winter,
00094,Sequence,Eastern Temperate Forests,Winter,
00095,Sequence,Eastern Temperate Forests,Winter,
00096,Sequence,Eastern Temperate Forests,Winter,
00097,Sequence,Eastern Temperate Forests,Winter,
00098,Sequence,Eastern Temperate Forests,Winter,
00099,Sequence,Eastern Temperate Forests,Winter,
00100,Air,Eastern Temperate Forests,Spring,
