#####,Type,,Region I,Season,Time of Day
00001,Air,,Northern Forests,Fall,Morning
00002,Air,,Northern Forests,Fall,Morning
00003,Water,Calm forest creek flowing over pebbles,Northern Forests,Fall,Afternoon
00004,Water,,Northern Forests,Fall,Afternoon
00005,Water,,Northern Forests,Fall,Afternoon
00006,Air,,Northern Forests,Fall,Afternoon
00007,Air,,Northern Forests,Fall,Afternoon
00008,Air,,Northern Forests,Fall,Afternoon
00009,Air,,Northern Forests,Fall,Afternoon
00010,Air,,Northern Forests,Fall,Afternoon
00011,Air,,Northern Forests,Fall,Afternoon
00012,Hybrid,,Northern Forests,Fall,Morning
00013,Water,,Northern Forests,Fall,Morning
00014,Air,,Northern Forests,Fall,Afternoon
00015,Air,,Northern Forests,Fall,Afternoon
00016,Air,,Northern Forests,Fall,Afternoon
00017,Air,,Northern Forests,Fall,Afternoon
00018,Air,,Northern Forests,Fall,Afternoon
00019,Air,,Northern Forests,Fall,Afternoon
00020,Air,,Northern Forests,Fall,Afternoon
00021,Air,,Northern Forests,Fall,Afternoon
00022,Air,,Eastern Temperate Forests,Fall,Afternoon
00023,Air,,Eastern Temperate Forests,Fall,Afternoon
00024,Air,,Eastern Temperate Forests,Fall,Afternoon
00025,Air,,Eastern Temperate Forests,Fall,Afternoon
00026,Air,,Northern Forests,Fall,Afternoon
00027,Air,,Northern Forests,Fall,Afternoon
00028,Air,,Northern Forests,Fall,Afternoon
00029,Air,,Northern Forests,Fall,Afternoon
00030,Air,,Northern Forests,Fall,Afternoon
00031,Water,,Northern Forests,Fall,Afternoon
00032,Water,,Northern Forests,Fall,Afternoon
00033,Water,,Northern Forests,Fall,Afternoon
00034,Water,,Northern Forests,Fall,Afternoon
00035,Water,,Northern Forests,Fall,Afternoon
00036,Water,,Northern Forests,Fall,Afternoon
00037,Hybrid,,Northern Forests,Fall,Afternoon
00038,Hybrid,,Northern Forests,Fall,Afternoon
00039,Water,,Northern Forests,Fall,Afternoon
00040,Water,,Northern Forests,Fall,Afternoon
00041,Air,,Northern Forests,Fall,Afternoon
00042,Air,,Northern Forests,Fall,Sunset
00043,Air,,Northern Forests,Fall,Sunset
00044,Air,,Northern Forests,Fall,Afternoon
00045,Hybrid,,Northern Forests,Fall,Sunrise
00046,Water,,Northern Forests,Fall,Sunrise
00047,Hybrid,,Northern Forests,Fall,Sunrise
00048,Air,,Northern Forests,Fall,Afternoon
00049,Air,,Northern Forests,Fall,Afternoon
00050,Air,,Northern Forests,Fall,Afternoon
00051,Air,,Northern Forests,Fall,Afternoon
00052,Air,,Northern Forests,Fall,Sunset
00053,Air,,Northern Forests,Fall,Sunset
00054,Air,,Northern Forests,Fall,Sunset
00055,Air,,Northern Forests,Fall,Sunset
00056,Air,,Eastern Temperate Forests,Fall,Afternoon
00057,Air,,Eastern Temperate Forests,Fall,Afternoon
00058,Air,,Eastern Temperate Forests,Fall,Afternoon
00059,Air,,Eastern Temperate Forests,Fall,Afternoon
00060,Air,,Eastern Temperate Forests,Fall,Afternoon
00061,Air,,Eastern Temperate Forests,Fall,Afternoon
00062,Air,,Eastern Temperate Forests,Fall,Sunset
00063,Air,,Eastern Temperate Forests,Fall,Sunset
00064,Air,,Eastern Temperate Forests,Fall,Sunset
00065,Water,,Northern Forests,Fall,Afternoon
00066,Air,,Eastern Temperate Forests,Winter,Morning
00067,Air,,Eastern Temperate Forests,Winter,Morning
00068,Air,,Eastern Temperate Forests,Winter,Morning
00069,Air,,Eastern Temperate Forests,Winter,Morning
00070,Air,,Eastern Temperate Forests,Winter,Morning
00071,Air,,Eastern Temperate Forests,Winter,Afternoon
00072,Air,,Eastern Temperate Forests,Winter,Night
00073,Air,,Eastern Temperate Forests,Winter,Morning
00074,Air,,Eastern Temperate Forests,Winter,Morning
00075,Air,,Eastern Temperate Forests,Winter,Morning
00076,Air,,Eastern Temperate Forests,Winter,Morning
00077,Air,,Eastern Temperate Forests,Winter,Morning
00078,Air,,Eastern Temperate Forests,Winter,Afternoon
00079,Air,,Eastern Temperate Forests,Winter,Afternoon
00080,Air,,Eastern Temperate Forests,Winter,Morning
00081,Air,,Eastern Temperate Forests,Winter,Sunrise
00082,Air,,Eastern Temperate Forests,Winter,Sunrise
00083,Air,,Eastern Temperate Forests,Winter,Morning
00084,Air,,Eastern Temperate Forests,Winter,Morning
00085,Air,,Eastern Temperate Forests,Winter,Morning
00086,Air,,Eastern Temperate Forests,Winter,Afternoon
00087,Sequence,,Eastern Temperate Forests,Winter,Morning
00088,Sequence,,Eastern Temperate Forests,Winter,Afternoon
00089,Sequence,,Eastern Temperate Forests,Winter,Afternoon
00090,Sequence,,Eastern Temperate Forests,Winter,Afternoon
00091,Sequence,,Eastern Temperate Forests,Winter,Afternoon
00092,Sequence,,Eastern Temperate Forests,Winter,Afternoon
00093,Sequence,,Eastern Temperate Forests,Winter,Afternoon
00094,Sequence,,Eastern Temperate Forests,Winter,Sunset
00095,Sequence,,Eastern Temperate Forests,Winter,Sunset
00096,Sequence,,Eastern Temperate Forests,Winter,Morning
00097,Sequence,,Eastern Temperate Forests,Winter,Afternoon
00098,Sequence,,Eastern Temperate Forests,Winter,Afternoon
00099,Sequence,,Eastern Temperate Forests,Winter,Afternoon
00100,Air,,Eastern Temperate Forests,Spring,Sunset
